idx,modelID,modelName,disName,folderName,model_texture_name,resolution,qa,LQpQt
12,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL2_qp11_qt10_decompJPEG_512x512_Q50,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,50,L2_qp11_qt10
13,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL2_qp8_qt7_decompJPEG_512x512_Q90,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,90,L2_qp8_qt7
14,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL2_qp8_qt8_decompJPEG_712x712_Q10,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,712x712,10,L2_qp8_qt8
15,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL3_qp10_qt6_decompJPEG_2048x2048_Q25,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,2048x2048,25,L3_qp10_qt6
16,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL3_qp10_qt7_decompJPEG_2048x2048_Q50,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,2048x2048,50,L3_qp10_qt7
17,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL3_qp10_qt7_decompJPEG_512x512_Q50,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,50,L3_qp10_qt7
18,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL3_qp11_qt10_decompJPEG_512x512_Q50,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,50,L3_qp11_qt10
19,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL3_qp11_qt7_decompJPEG_1024x1024_Q50,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,1024x1024,50,L3_qp11_qt7
20,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL3_qp9_qt6_decompJPEG_1024x1024_Q25,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,1024x1024,25,L3_qp9_qt6
21,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL4_qp8_qt7_decompJPEG_2048x2048_Q50,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,2048x2048,50,L4_qp8_qt7
22,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL4_qp8_qt8_decompJPEG_712x712_Q25,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,712x712,25,L4_qp8_qt8
23,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL4_qp9_qt6_decompJPEG_512x512_Q75,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,75,L4_qp9_qt6
24,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL5_qp10_qt10_decompJPEG_512x512_Q50,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,50,L5_qp10_qt10
25,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL5_qp11_qt10_decompJPEG_512x512_Q50,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,50,L5_qp11_qt10
26,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL5_qp11_qt10_decompJPEG_512x512_Q75,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,75,L5_qp11_qt10
27,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL5_qp11_qt7_decompJPEG_1024x1024_Q50,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,1024x1024,50,L5_qp11_qt7
28,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL5_qp8_qt9_decompJPEG_712x712_Q90,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,712x712,90,L5_qp8_qt9
29,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL6_qp10_qt10_decompJPEG_512x512_Q75,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,75,L6_qp10_qt10
30,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL6_qp10_qt10_decompJPEG_512x512_Q90,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,90,L6_qp10_qt10
31,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL6_qp11_qt10_decompJPEG_512x512_Q25,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,25,L6_qp11_qt10
32,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL6_qp11_qt10_decompJPEG_512x512_Q50,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,50,L6_qp11_qt10
33,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL6_qp11_qt10_decompJPEG_512x512_Q75,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,75,L6_qp11_qt10
34,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL6_qp11_qt10_decompJPEG_512x512_Q90,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,90,L6_qp11_qt10
35,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL7_qp10_qt10_decompJPEG_512x512_Q75,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,75,L7_qp10_qt10
36,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL7_qp11_qt10_decompJPEG_512x512_Q75,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,75,L7_qp11_qt10
37,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL7_qp8_qt8_decompJPEG_2048x2048_Q50,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,2048x2048,50,L7_qp8_qt8
38,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL7_qp9_qt6_decompJPEG_512x512_Q75,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,75,L7_qp9_qt6
39,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL8_qp10_qt9_decompJPEG_512x512_Q90,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,90,L8_qp10_qt9
40,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL8_qp11_qt8_decompJPEG_2048x2048_Q75,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,2048x2048,75,L8_qp11_qt8
41,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL8_qp8_qt10_decompJPEG_512x512_Q50,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,50,L8_qp8_qt10
42,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL8_qp8_qt7_decompJPEG_712x712_Q75,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,712x712,75,L8_qp8_qt7
43,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL8_qp9_qt8_decompJPEG_1024x1024_Q75,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,1024x1024,75,L8_qp9_qt8
44,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL9_qp10_qt6_decompJPEG_1024x1024_Q75,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,1024x1024,75,L9_qp10_qt6
45,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL9_qp10_qt6_decompJPEG_512x512_Q10,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,10,L9_qp10_qt6
46,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL9_qp10_qt7_decompJPEG_2048x2048_Q10,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,2048x2048,10,L9_qp10_qt7
47,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL9_qp10_qt7_decompJPEG_2048x2048_Q25,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,2048x2048,25,L9_qp10_qt7
48,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL9_qp10_qt7_decompJPEG_2048x2048_Q50,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,2048x2048,50,L9_qp10_qt7
49,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL9_qp11_qt6_decompJPEG_512x512_Q10,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,10,L9_qp11_qt6
50,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL9_qp11_qt7_decompJPEG_1024x1024_Q50,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,1024x1024,50,L9_qp11_qt7
51,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL9_qp11_qt7_decompJPEG_1440x1440_Q90,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,1440x1440,90,L9_qp11_qt7
52,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL9_qp11_qt8_decompJPEG_1440x1440_Q75,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,1440x1440,75,L9_qp11_qt8
53,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL9_qp8_qt7_decompJPEG_2048x2048_Q90,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,2048x2048,90,L9_qp8_qt7
54,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL9_qp9_qt7_decompJPEG_2048x2048_Q25,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,2048x2048,25,L9_qp9_qt7
55,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL9_qp9_qt9_decompJPEG_512x512_Q50,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,50,L9_qp9_qt9
56,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL1_qp11_qt10_decompJPEG_512x512_Q25,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,512x512,25,L1_qp11_qt10
57,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL1_qp11_qt10_decompJPEG_512x512_Q50,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,512x512,50,L1_qp11_qt10
58,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp10_qt10_decompJPEG_2048x2048_Q50,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,2048x2048,50,L10_qp10_qt10
59,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp10_qt10_decompJPEG_2048x2048_Q75,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,2048x2048,75,L10_qp10_qt10
60,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp10_qt10_decompJPEG_2048x2048_Q90,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,2048x2048,90,L10_qp10_qt10
61,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp10_qt7_decompJPEG_1024x1024_Q25,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1024x1024,25,L10_qp10_qt7
62,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp10_qt7_decompJPEG_1024x1024_Q50,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1024x1024,50,L10_qp10_qt7
63,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp10_qt7_decompJPEG_1024x1024_Q75,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1024x1024,75,L10_qp10_qt7
64,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp10_qt7_decompJPEG_1024x1024_Q90,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1024x1024,90,L10_qp10_qt7
65,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp10_qt7_decompJPEG_1440x1440_Q75,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1440x1440,75,L10_qp10_qt7
66,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp10_qt7_decompJPEG_2048x2048_Q25,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,2048x2048,25,L10_qp10_qt7
67,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp10_qt7_decompJPEG_2048x2048_Q50,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,2048x2048,50,L10_qp10_qt7
68,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp10_qt7_decompJPEG_2048x2048_Q75,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,2048x2048,75,L10_qp10_qt7
69,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp10_qt7_decompJPEG_2048x2048_Q90,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,2048x2048,90,L10_qp10_qt7
70,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp10_qt9_decompJPEG_1024x1024_Q50,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1024x1024,50,L10_qp10_qt9
71,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp10_qt9_decompJPEG_1024x1024_Q75,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1024x1024,75,L10_qp10_qt9
72,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp10_qt9_decompJPEG_1024x1024_Q90,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1024x1024,90,L10_qp10_qt9
73,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp10_qt9_decompJPEG_2048x2048_Q90,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,2048x2048,90,L10_qp10_qt9
74,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp11_qt6_decompJPEG_1024x1024_Q25,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1024x1024,25,L10_qp11_qt6
75,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp11_qt7_decompJPEG_1024x1024_Q75,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1024x1024,75,L10_qp11_qt7
76,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp11_qt7_decompJPEG_1024x1024_Q90,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1024x1024,90,L10_qp11_qt7
77,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp7_qt7_decompJPEG_2048x2048_Q10,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,2048x2048,10,L10_qp7_qt7
78,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp8_qt7_decompJPEG_1024x1024_Q25,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1024x1024,25,L10_qp8_qt7
79,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp8_qt7_decompJPEG_1024x1024_Q50,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1024x1024,50,L10_qp8_qt7
80,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp8_qt7_decompJPEG_1024x1024_Q90,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1024x1024,90,L10_qp8_qt7
81,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp8_qt7_decompJPEG_1440x1440_Q25,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1440x1440,25,L10_qp8_qt7
82,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp9_qt6_decompJPEG_1440x1440_Q50,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1440x1440,50,L10_qp9_qt6
83,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp9_qt6_decompJPEG_1440x1440_Q75,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1440x1440,75,L10_qp9_qt6
84,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp9_qt6_decompJPEG_1440x1440_Q90,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1440x1440,90,L10_qp9_qt6
85,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp9_qt6_decompJPEG_2048x2048_Q75,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,2048x2048,75,L10_qp9_qt6
86,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp9_qt7_decompJPEG_1024x1024_Q90,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1024x1024,90,L10_qp9_qt7
87,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp9_qt7_decompJPEG_2048x2048_Q90,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,2048x2048,90,L10_qp9_qt7
88,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp9_qt9_decompJPEG_1024x1024_Q75,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1024x1024,75,L10_qp9_qt9
89,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL10_qp9_qt9_decompJPEG_1440x1440_Q50,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1440x1440,50,L10_qp9_qt9
90,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL2_qp11_qt10_decompJPEG_512x512_Q50,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,512x512,50,L2_qp11_qt10
91,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL3_qp11_qt10_decompJPEG_512x512_Q50,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,512x512,50,L3_qp11_qt10
92,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL3_qp9_qt10_decompJPEG_512x512_Q25,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,512x512,25,L3_qp9_qt10
93,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL4_qp10_qt9_decompJPEG_512x512_Q50,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,512x512,50,L4_qp10_qt9
94,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL4_qp11_qt10_decompJPEG_512x512_Q25,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,512x512,25,L4_qp11_qt10
95,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL4_qp8_qt9_decompJPEG_512x512_Q50,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,512x512,50,L4_qp8_qt9
96,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL5_qp11_qt10_decompJPEG_512x512_Q50,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,512x512,50,L5_qp11_qt10
97,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL5_qp9_qt10_decompJPEG_512x512_Q50,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,512x512,50,L5_qp9_qt10
98,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL6_qp11_qt9_decompJPEG_512x512_Q25,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,512x512,25,L6_qp11_qt9
99,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL6_qp9_qt9_decompJPEG_512x512_Q50,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,512x512,50,L6_qp9_qt9
100,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL9_qp10_qt7_decompJPEG_1024x1024_Q75,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1024x1024,75,L9_qp10_qt7
101,2,1970.16_Neck_Amphora_100K,1970.16_Neck_Amphora_100K_simpL9_qp11_qt7_decompJPEG_1024x1024_Q75,197016-neck-amphora,1970.16_Neck_Amphora_100K_colour,1024x1024,75,L9_qp11_qt7
